year;quarter;export;import;balance
2004;1;12317;13856;-1539
2004;2;15395;17089;-1694
2004;3;15479;16670;-1191
2004;4;16434;17565;-1131
2005;1;16099;16634;-535
2005;2;17524;18308;-784
2005;3;18147;18956;-809
2005;4;20384;21198;-814
2006;1;20381;21419;-1038
2006;2;21277;22555;-1278
2006;3;21858;23543;-1685
2006;4;24097;26395;-2298
2007;1;23325;26371;-3046
2007;2;24015;27845;-3830
2007;3;24990;28555;-3565
2007;4;26918;31870;-4952
2008;1;28618;32986;-4368
2008;2;29910;35591;-5681
2008;3;29858;36099;-6241
2008;4;25347;31593;-6246
2009;1;22885;24290;-1405
2009;2;23205;24569;-1364
2009;3;24567;26402;-1835
2009;4;25790;27901;-2111
2010;1;27161;29111;-1950
2010;2;29570;31906;-2336
2010;3;30075;33219;-3144
2010;4;31275;34785;-3510
2011;1;32759;35269;-2510
2011;2;33445;37535;-4090
2011;3;32954;36244;-3290
2011;4;33301;36706;-3405
2012;1;34622;37433;-2811
2012;2;34469;36688;-2219
2012;3;35266;36470;-1204
2012;4;36667;38564;-1897
2013;1;35693;36747;-1054
2013;2;36659;36118;541
2013;3;37932;37648;284
2013;4;38812;38918;-106
2014;1;38708;39488;-780
2014;2;39176;40010;-834
2014;3;39717;40113;-396
2014;4;41018;42263;-1245
2015;1;42509;40945;1564
2015;2;42938;42616;322
2015;3;42078;42797;-719
2015;4;44599;43553;1046
2016;1;43130;41946;1184
2016;2;44861;43150;1711
2016;3;43132;43564;-432
2016;4;46325;45853;472
2017;1;49684;48988;696
2017;2;50145;49376;769
2017;3;49418;48894;524
2017;4;52643;53206;-563
2018;1;52441;54008;-1567
2018;2;53378;53998;-620
2018;3;52480;53799;-1319
2018;4;56838;58511;-1673
